endpoint,Timestamp,VA,CO2Emission,Our_CO2_Emissions_In_Grams,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,17/10/2024 23.00,2969.81,51.83,153.93,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,17/10/2024 23.00,880.66,51.83,45.64,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,17/10/2024 23.00,3242.45,51.83,168.06,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 00.00,3215.09,61.58,197.99,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 00.00,692.92,61.58,42.67,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 00.00,4199.53,61.58,258.61,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 00.00,2491.51,61.58,153.43,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 00.00,2964.62,61.58,182.56,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 00.00,888.21,61.58,54.7,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 00.00,551.42,61.58,33.96,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 00.00,1095.28,61.58,67.45,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 01.00,4247.64,63.92,271.51,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 01.00,550.94,63.92,35.22,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 01.00,2950,63.92,188.56,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 01.00,1083.49,63.92,69.26,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 01.00,696.7,63.92,44.53,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 01.00,3215.57,63.92,205.54,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 01.00,885.38,63.92,56.59,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 01.00,2495.28,63.92,159.5,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 02.00,884.43,64.75,57.27,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 02.00,2508.49,64.75,162.42,,,,,,,,,,,,,,,,,,,,,
